'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2022-11-11 11:27:45:194
'Access specifications
'Access specification name,default assignment
128 KiB; 0% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
131072,100,0,0,0,1,0,0,
'End access specifications
'Results
TimeStamp,'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MBps (Binary),Read MBps (Binary),Write MBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
2022-11-11 11:27:46:225,WORKER,Worker 1,,,,1,3580.33,0,3580.33,447.541,0,447.541,469.281,0,469.281,3580.33,0,8.89419,0,8.89419,8.89419,0,19.56,0,19.56,19.56,0,0,0,0,0,469893120,0,3585,0,-1,0,318856790,318856790,0,0,195600,195600,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,13,3348,192,32,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:47:257,WORKER,Worker 1,,,,1,3504.73,0,3504.73,438.091,0,438.091,459.371,0,459.371,3504.73,0,9.12653,0,9.12653,9.12653,0,16.8428,0,16.8428,16.8428,0,0,0,0,0,475398144,0,3627,0,-1,0,331019133,331019133,0,0,168428,168428,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3307,255,65,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:48:288,WORKER,Worker 1,,,,1,3507.33,0,3507.33,438.416,0,438.416,459.713,0,459.713,3507.33,0,9.12517,0,9.12517,9.12517,0,21.3206,0,21.3206,21.3206,0,0,0,0,0,473956352,0,3616,0,-1,0,329966066,329966066,0,0,213206,213206,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3266,286,32,32,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:49:335,WORKER,Worker 1,,,,1,3538.62,0,3538.62,442.327,0,442.327,463.814,0,463.814,3538.62,0,9.04038,0,9.04038,9.04038,0,17.4943,0,17.4943,17.4943,0,0,0,0,0,483262464,0,3687,0,-1,0,333318934,333318934,0,0,174943,174943,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3335,288,64,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:50:350,WORKER,Worker 1,,,,1,3535.98,0,3535.98,441.998,0,441.998,463.468,0,463.468,3535.98,0,9.04952,0,9.04952,9.04952,0,18.1318,0,18.1318,18.1318,0,0,0,0,0,472907776,0,3608,0,-1,0,326506840,326506840,0,0,181318,181318,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3318,194,96,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:51:366,WORKER,Worker 1,,,,1,3612.86,0,3612.86,451.608,0,451.608,473.545,0,473.545,3612.86,0,8.86137,0,8.86137,8.86137,0,13.958,0,13.958,13.958,0,0,0,0,0,481296384,0,3672,0,-1,0,325389654,325389654,0,0,139580,139580,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3416,256,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:52:397,WORKER,Worker 1,,,,1,3509.95,0,3509.95,438.744,0,438.744,460.057,0,460.057,3509.95,0,9.11773,0,9.11773,9.11773,0,17.2202,0,17.2202,17.2202,0,0,0,0,0,473563136,0,3613,0,-1,0,329423577,329423577,0,0,172202,172202,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3293,287,33,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:53:444,WORKER,Worker 1,,,,1,3502.21,0,3502.21,437.776,0,437.776,459.042,0,459.042,3502.21,0,9.13847,0,9.13847,9.13847,0,21.8263,0,21.8263,21.8263,0,0,0,0,0,480509952,0,3666,0,-1,0,335016188,335016188,0,0,218263,218263,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3317,252,65,32,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:54:490,WORKER,Worker 1,,,,1,3520.56,0,3520.56,440.07,0,440.07,461.447,0,461.447,3520.56,0,9.09,0,9.09,9.09,0,15.8656,0,15.8656,15.8656,0,0,0,0,0,480378880,0,3665,0,-1,0,333148361,333148361,0,0,158656,158656,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3283,345,37,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:55:522,WORKER,Worker 1,,,,1,3520.9,0,3520.9,440.113,0,440.113,461.492,0,461.492,3520.9,0,9.08684,0,9.08684,9.08684,0,19.4449,0,19.4449,19.4449,0,0,0,0,0,478412800,0,3650,0,-1,0,331669505,331669505,0,0,194449,194449,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3298,288,64,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:56:553,WORKER,Worker 1,,,,1,3592.17,0,3592.17,449.021,0,449.021,470.833,0,470.833,3592.17,0,8.90836,0,8.90836,8.90836,0,14.1974,0,14.1974,14.1974,0,0,0,0,0,483000320,0,3685,0,-1,0,328273008,328273008,0,0,141974,141974,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3461,224,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:57:568,WORKER,Worker 1,,,,1,3538.9,0,3538.9,442.362,0,442.362,463.85,0,463.85,3538.9,0,9.04525,0,9.04525,9.04525,0,15.893,0,15.893,15.893,0,0,0,0,0,473956352,0,3616,0,-1,0,327076140,327076140,0,0,158930,158930,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3328,240,48,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:58:631,WORKER,Worker 1,,,,1,3503.93,0,3503.93,437.991,0,437.991,459.267,0,459.267,3503.93,0,9.13156,0,9.13156,9.13156,0,22.3256,0,22.3256,22.3256,0,0,0,0,0,484179968,0,3694,0,-1,0,337319717,337319717,0,0,223256,223256,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3342,287,33,32,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:27:59:662,WORKER,Worker 1,,,,1,3507.81,0,3507.81,438.477,0,438.477,459.776,0,459.776,3507.81,0,9.12187,0,9.12187,9.12187,0,16.03,0,16.03,16.03,0,0,0,0,0,477102080,0,3640,0,-1,0,332036156,332036156,0,0,160300,160300,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3255,343,42,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:00:709,WORKER,Worker 1,,,,1,3505.72,0,3505.72,438.215,0,438.215,459.502,0,459.502,3505.72,0,9.12556,0,9.12556,9.12556,0,20.1931,0,20.1931,20.1931,0,0,0,0,0,480903168,0,3669,0,-1,0,334816844,334816844,0,0,201931,201931,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3287,318,57,7,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:01:756,WORKER,Worker 1,,,,1,3560.26,0,3560.26,445.032,0,445.032,466.65,0,466.65,3560.26,0,8.98905,0,8.98905,8.98905,0,15.0708,0,15.0708,15.0708,0,0,0,0,0,488636416,0,3728,0,-1,0,335111960,335111960,0,0,150708,150708,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3408,319,1,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:02:787,WORKER,Worker 1,,,,1,3553.9,0,3553.9,444.238,0,444.238,465.817,0,465.817,3553.9,0,8.97916,0,8.97916,8.97916,0,16.0837,0,16.0837,16.0837,0,0,0,0,0,477233152,0,3641,0,-1,0,326931223,326931223,0,0,160837,160837,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3353,256,32,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:03:787,WORKER,Worker 1,,,,1,3441.63,0,3441.63,430.204,0,430.204,451.101,0,451.101,3441.63,0,9.32596,0,9.32596,9.32596,0,20.6103,0,20.6103,20.6103,0,0,0,0,0,451280896,0,3443,0,-1,0,321092928,321092928,0,0,206103,206103,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,2995,307,137,4,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:04:787,WORKER,Worker 1,,,,1,3413.26,0,3413.26,426.658,0,426.658,447.383,0,447.383,3413.26,0,9.37318,0,9.37318,9.37318,0,17.0029,0,17.0029,17.0029,0,0,0,0,0,449708032,0,3431,0,-1,0,321593913,321593913,0,0,170029,170029,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,2918,447,66,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:05:802,WORKER,Worker 1,,,,1,3392.49,0,3392.49,424.062,0,424.062,444.661,0,444.661,3392.49,0,9.43061,0,9.43061,9.43061,0,22.7533,0,22.7533,22.7533,0,0,0,0,0,451805184,0,3447,0,-1,0,325073209,325073209,0,0,227533,227533,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,2999,263,153,32,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:06:849,WORKER,Worker 1,,,,1,3540.23,0,3540.23,442.528,0,442.528,464.025,0,464.025,3540.23,0,9.03358,0,9.03358,9.03358,0,23.5682,0,23.5682,23.5682,0,0,0,0,0,482082816,0,3678,0,-1,0,332255159,332255159,0,0,235682,235682,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3358,279,9,32,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:07:849,WORKER,Worker 1,,,,1,3525.19,0,3525.19,440.649,0,440.649,462.054,0,462.054,3525.19,0,9.08173,0,9.08173,9.08173,0,17.3845,0,17.3845,17.3845,0,0,0,0,0,465698816,0,3553,0,-1,0,322674014,322674014,0,0,173845,173845,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3233,256,64,0,0,0,0,0,0,0,0,0,0,0
2022-11-11 11:28:08:864,WORKER,Worker 1,,,,1,3503.11,0,3503.11,437.889,0,437.889,459.16,0,459.16,3503.11,0,9.13229,0,9.13229,9.13229,0,20.3816,0,20.3816,20.3816,0,0,0,0,0,466223104,0,3557,0,-1,0,324835536,324835536,0,0,203816,203816,0,0,0,0,32,,,,,,1e+007,,,,,,0,0,0,0,0,0,0,3237,218,100,2,0,0,0,0,0,0,0,0,0,0
